0,1,0,4
1,3,3,9
2,4,0,15
3,8,2,19
4,8,5,29
5,8,3,37
6,8,3,44
7,11,4,48
8,13,4,54
9,13,0,69
10,14,2,73
11,16,0,78
12,17,3,84
13,19,4,90
14,19,1,97
15,20,1,101
16,23,0,105
17,26,0,109
18,26,4,119
19,26,3,125
20,27,2,129
21,30,4,133
22,32,2,138
23,32,0,150
24,34,4,154
25,35,2,158
26,38,3,162
27,40,1,167
28,40,6,182
29,40,1,188
30,41,0,192
31,44,0,196
32,44,3,203
33,44,5,214
34,45,2,219
35,46,2,223
36,49,2,227
37,51,4,232
38,52,2,239
39,54,2,243
40,55,3,247
41,56,0,253
42,58,3,258
43,59,2,265
44,61,2,269
45,62,3,273
46,64,1,278
47,66,3,283
48,68,4,289
49,68,1,297
50,69,1,301
51,72,0,305
52,74,2,310
53,78,4,314
54,78,0,324
55,78,0,332
56,78,1,339
57,81,0,343
58,81,5,362
59,81,3,369
60,81,3,374
61,84,2,378
62,86,0,383
63,88,1,389
64,88,3,397
65,89,0,401
66,92,0,405
67,95,0,409
68,97,0,415
69,97,5,435
70,98,0,439
71,101,2,443
72,104,2,447
73,106,2,453
74,108,2,457
75,109,2,461
76,112,1,465
77,112,3,472
78,116,2,476
79,118,2,480
80,119,1,484
81,122,3,488
82,125,2,492
83,127,2,498
84,127,3,504
85,128,2,508
86,131,4,512
87,133,2,517
88,133,1,543
89,133,2,549
90,134,3,553
91,137,3,557
92,140,2,561
93,142,2,567
94,142,4,573
95,143,1,577
96,145,4,582
97,146,1,588
98,146,2,605
99,147,5,610
100,147,1,615
101,150,2,619
102,152,4,624
103,154,3,630
104,154,1,639
105,155,2,643
106,158,1,647
107,161,0,651
108,161,4,661
109,163,2,665
110,164,1,669
111,167,2,673
112,169,0,678
113,173,2,682
114,173,3,700
115,174,2,704
116,176,0,709
117,178,2,714
118,179,0,721
119,180,3,726
120,181,2,730
121,184,2,734
122,187,3,738
123,189,4,744
124,191,4,748
125,192,1,752
126,195,3,756
127,198,2,760
128,198,5,788
129,198,2,794
130,199,0,798
131,201,3,803
132,204,4,807
133,204,2,816
134,204,3,822
135,205,0,826
136,208,2,830
137,211,2,834
138,211,1,844
139,211,1,850
140,212,2,854
141,215,3,858
142,218,2,862
143,220,2,868
144,222,2,872
145,223,3,876
146,225,1,881
147,228,0,885
148,230,1,891
149,230,4,902
150,230,3,911
151,233,0,915
152,235,2,920
153,237,3,926
154,237,4,932
155,238,0,936
156,241,2,940
157,243,0,945
158,247,2,949
159,247,4,960
160,248,1,964
161,251,0,968
162,251,2,975
163,255,4,979
164,255,0,987
165,256,2,991
166,259,1,995
167,262,1,999
168,264,2,1005
169,266,2,1009
170,267,2,1013
171,270,4,1017
172,270,1,1024
173,273,4,1029
174,273,2,1036
175,273,0,1041
176,276,2,1045
177,279,2,1049
178,283,4,1053
179,283,2,1063
180,284,3,1067
181,287,2,1071
182,290,1,1075
183,292,2,1081
184,294,1,1085
185,295,1,1089
186,298,0,1093
187,301,1,1097
188,301,0,1105
189,303,0,1109
190,303,2,1115
191,305,3,1120
192,308,2,1124
193,310,3,1130
194,310,1,1138
195,311,1,1142
196,313,4,1147
197,315,2,1152
198,317,2,1158
199,319,2,1162
200,320,0,1166
201,320,4,1176
202,323,2,1180
203,325,2,1186
204,327,2,1190
205,328,3,1194
206,329,0,1200
207,331,4,1205
208,332,3,1212
209,333,5,1217
210,334,3,1221
211,337,4,1225
212,339,2,1230
213,343,4,1234
214,343,1,1244
215,344,2,1248
216,347,4,1252
217,347,0,1259
218,350,4,1264
219,350,2,1271
220,350,0,1276
221,353,3,1280
222,356,2,1284
223,358,2,1290
224,358,4,1296
225,359,3,1300
226,362,4,1304
227,362,1,1311
228,362,1,1327
229,364,4,1331
230,365,1,1335
231,368,2,1339
232,371,2,1343
233,373,2,1349
234,373,0,1361
235,374,2,1365
236,377,4,1369
237,380,4,1373
238,380,2,1383
239,380,2,1389
240,381,2,1393
241,384,4,1397
242,384,1,1404
243,386,2,1410
244,388,1,1414
245,389,2,1418
246,392,2,1422
247,395,1,1426
248,395,1,1443
249,397,2,1447
250,398,1,1451
251,401,0,1455
252,401,2,1462
253,404,0,1467
254,404,1,1474
255,404,2,1479
256,407,2,1483
257,410,2,1487
258,412,3,1493
259,412,0,1505
260,413,1,1509
261,416,0,1513
262,416,4,1520
263,419,0,1525
264,421,0,1529
265,422,1,1533
266,425,0,1537
267,428,1,1541
268,430,2,1547
269,430,3,1553
270,431,3,1557
271,432,0,1563
272,435,1,1567
273,437,2,1573
274,437,3,1579
275,438,2,1583
276,440,0,1588
277,441,4,1594
278,444,1,1599
279,444,2,1608
280,445,0,1612
281,448,0,1616
282,451,1,1620
283,453,2,1626
284,455,2,1630
285,456,1,1634
286,459,0,1638
287,461,2,1643
288,462,0,1650
289,463,3,1655
290,464,1,1659
291,467,1,1663
292,469,3,1668
293,471,4,1674
294,471,0,1683
295,471,0,1690
296,472,0,1696
297,474,2,1701
298,476,1,1707
299,476,3,1713
300,477,0,1717
301,478,4,1723
302,480,2,1728
303,484,4,1732
304,484,0,1743
305,485,3,1747
306,487,1,1752
307,489,3,1757
308,491,3,1763
309,493,2,1767
310,494,1,1771
311,496,4,1776
312,498,2,1781
313,502,4,1785
314,502,1,1795
315,503,1,1799
316,506,2,1803
317,508,4,1808
318,508,1,1817
319,509,1,1822
320,509,3,1827
321,512,1,1831
322,515,2,1835
323,517,2,1841
324,517,4,1847
325,518,0,1851
326,520,4,1856
327,523,3,1860
328,525,4,1866
329,525,2,1874
330,525,0,1880
331,527,1,1885
332,530,0,1889
333,530,5,1900
334,532,2,1904
335,533,2,1908
336,536,1,1912
337,539,0,1916
338,543,2,1920
339,543,0,1930
340,543,3,1942
341,545,0,1947
342,545,4,1960
343,545,6,1970
344,547,0,1974
345,548,0,1978
346,548,3,1993
347,551,2,1997
348,555,4,2001
349,555,1,2011
350,555,0,2019
351,555,1,2026
352,558,0,2030
353,560,1,2036
354,560,4,2045
355,560,2,2051
356,562,1,2056
357,564,3,2061
358,565,1,2068
359,566,5,2073
360,566,1,2078
361,569,2,2082
362,572,1,2086
363,574,2,2092
364,574,0,2100
365,575,1,2104
366,578,3,2108
367,581,4,2112
368,581,0,2125
369,581,2,2133
370,581,1,2139
371,583,2,2144
372,585,4,2149
373,587,4,2155
374,589,4,2159
375,589,0,2169
376,589,1,2178
377,590,0,2184
378,592,1,2190
379,592,5,2197
380,592,3,2202
381,595,0,2206
382,597,2,2211
383,601,4,2215
384,601,2,2225
385,602,2,2229
386,605,2,2233
387,608,2,2237
388,608,1,2254
389,610,4,2258
390,611,1,2262
391,614,2,2266
392,617,2,2270
393,619,3,2276
394,619,0,2288
395,620,2,2292
396,622,0,2297
397,624,2,2302
398,626,2,2308
399,628,2,2312
400,629,0,2316
401,631,3,2321
402,632,0,2327
403,634,3,2333
404,634,5,2341
405,635,1,2345
406,638,0,2349
407,640,2,2354
408,640,5,2366
409,642,4,2370
410,643,2,2374
411,646,2,2378
412,649,2,2382
413,649,1,2397
414,649,1,2403
415,650,0,2407
416,652,3,2412
417,654,1,2417
418,656,2,2423
419,656,0,2431
420,657,2,2435
421,659,0,2440
422,661,2,2445
423,663,3,2451
424,665,2,2455
425,666,2,2459
426,668,0,2464
427,669,3,2470
428,671,2,2476
429,673,2,2480
430,674,1,2484
431,677,3,2488
432,680,2,2492
433,680,1,2502
